sequence,millisecond,index,middle,ring,little
0,15,0.0,0.0,0.0,0.0
1,30,0.0,0.0,0.0,0.0
2,46,0.0,0.0,0.0,0.0
3,61,0.0,0.0,0.0,0.0
4,76,0.0,0.0,0.0,0.0
5,92,0.0,0.0,0.0,0.0
6,107,0.0,0.0,0.0,0.0
7,122,0.0,0.0,0.0,0.0
8,138,0.0,0.0,0.0,0.0
9,154,0.0,0.0,0.0,0.0
10,170,0.0,0.0,0.0,0.0
11,185,0.0,0.0,0.0,0.0
12,200,0.0,0.0,0.0,0.0
13,216,0.0,0.0,0.0,0.0
14,231,0.0,0.0,0.0,0.0
15,247,0.0,0.0,0.0,0.0
16,263,0.0,0.0,0.0,0.0
17,278,0.0,0.0,0.0,0.0
18,294,0.0,0.0,0.0,0.0
19,309,0.0,0.0,0.0,0.0
20,325,0.0,0.0,0.0,0.0
21,340,0.0,0.0,0.0,0.0
22,356,0.0,0.0,0.0,0.0
23,371,0.0,0.0,0.0,0.0
24,386,0.0,0.0,0.0,0.0
25,401,0.0,0.0,0.0,0.0
26,417,0.0,0.0,0.0,0.0
27,433,0.0,0.0,0.0,0.0
28,448,0.0,0.0,0.0,0.0
29,463,0.0,0.0,0.0,0.0
30,478,0.0,0.0,0.0,0.0
31,494,0.0,0.0,0.0,0.0
32,510,0.0,0.0,0.0,0.0
33,526,0.0,0.0,0.0,0.0
34,541,0.0,0.0,0.0,0.0
35,556,0.0,0.0,0.0,0.0
36,572,0.0,0.0,0.0,0.0
37,587,0.0,0.0,0.0,0.0
38,602,0.0,0.0,0.0,0.0
39,619,0.0,0.0,0.0,0.0
40,634,0.0,0.0,0.0,0.0
41,650,0.0,0.0,0.0,0.0
42,665,0.0,0.0,0.0,0.0
43,681,0.0,0.0,0.0,0.0
44,697,0.0,0.0,0.0,0.0
45,712,0.0,0.0,0.0,0.0
46,728,0.0,0.0,0.0,0.0
47,743,0.0,0.16,0.0,0.0
48,758,0.18,0.19,0.2,0.0
49,774,0.23,0.26,0.25,0.0
50,790,0.27,0.31,0.3,0.0
51,806,0.31,0.37,0.36,0.0
52,821,0.39,0.48,0.45,0.0
53,836,0.46,0.58,0.53,0.17
54,852,0.54,0.69,0.62,0.21
55,867,0.63,0.82,0.7,0.25
56,883,0.71,0.93,0.83,0.3
57,899,0.78,1.03,0.93,0.34
58,914,0.94,1.27,1.1,0.4
59,930,1.03,1.39,1.25,0.42
60,946,1.1,1.5,1.38,0.44
61,962,1.19,1.68,1.5,0.47
62,977,1.25,1.82,1.6,0.5
63,992,1.3,1.94,1.77,0.53
64,1008,1.31,2.1,1.91,0.57
65,1023,1.33,2.21,2.03,0.61
66,1039,1.35,2.31,2.15,0.66
67,1055,1.39,2.44,2.35,0.74
68,1070,1.42,2.54,2.51,0.82
69,1085,1.46,2.64,2.68,0.9
70,1101,1.49,2.73,2.84,0.99
71,1116,1.53,2.87,3.07,1.09
72,1131,1.72,3.07,3.4,1.24
73,1146,1.82,3.2,3.52,1.32
74,1162,1.93,3.31,3.68,1.41
75,1177,2.06,3.41,3.82,1.49
76,1193,2.17,3.58,3.94,1.57
77,1209,2.25,3.71,4.06,1.69
78,1224,2.33,3.81,4.2,1.78
79,1239,2.39,3.92,4.3,1.85
80,1255,2.44,4.0,4.38,1.94
81,1270,2.49,4.06,4.44,1.99
82,1287,2.55,4.11,4.51,2.03
83,1302,2.58,4.17,4.55,2.05
84,1317,2.62,4.21,4.57,2.05
85,1333,2.68,4.24,4.56,2.03
86,1348,2.72,4.27,4.56,2.01
87,1364,2.78,4.31,4.49,1.96
88,1379,2.84,4.34,4.48,1.95
89,1394,2.9,4.38,4.48,1.95
90,1411,2.96,4.43,4.49,1.95
