sequence,millisecond,index,middle,ring,little
0,16,0.0,0.0,0.0,0.0
1,31,0.0,0.0,0.0,0.0
2,46,0.0,0.0,0.0,0.0
3,63,0.0,0.0,0.0,0.0
4,78,0.0,0.0,0.0,0.0
5,94,0.0,0.0,0.0,0.0
6,109,0.0,0.0,0.0,0.0
7,124,0.0,0.0,0.0,0.0
8,140,0.0,0.0,0.0,0.0
9,155,0.0,0.0,0.0,0.0
10,170,0.0,0.0,0.0,0.0
11,186,0.0,0.0,0.0,0.0
12,201,0.0,0.0,0.0,0.0
13,216,0.0,0.0,0.0,0.0
14,231,0.0,0.0,0.0,0.0
15,246,0.0,0.0,0.0,0.0
16,262,0.0,0.0,0.0,0.0
17,278,0.0,0.0,0.0,0.0
18,294,0.0,0.0,0.0,0.0
19,309,0.0,0.0,0.0,0.0
20,324,0.0,0.0,0.0,0.0
21,340,0.0,0.0,0.0,0.0
22,355,0.0,0.0,0.0,0.0
23,371,0.0,0.0,0.0,0.0
24,387,0.0,0.0,0.0,0.0
25,402,0.0,0.0,0.0,0.0
26,417,0.0,0.0,0.0,0.0
27,433,0.0,0.0,0.0,0.0
28,448,0.0,0.0,0.0,0.0
29,463,0.0,0.0,0.0,0.0
30,477,0.0,0.0,0.0,0.0
31,493,0.0,0.0,0.0,0.0
32,508,0.0,0.0,0.0,0.0
33,524,0.0,0.0,0.0,0.0
34,540,0.0,0.0,0.0,0.0
35,555,0.0,0.0,0.0,0.0
36,570,0.0,0.0,0.0,0.0
37,586,0.0,0.0,0.0,0.0
38,601,0.0,0.0,0.0,0.0
39,618,0.0,0.0,0.0,0.0
40,633,0.0,0.0,0.0,0.0
41,648,0.0,0.0,0.0,0.0
42,664,0.0,0.0,0.0,0.0
43,679,0.0,0.0,0.0,0.0
44,695,0.0,0.0,0.0,0.0
45,710,0.0,0.0,0.0,0.0
46,725,0.0,0.0,0.0,0.0
47,741,0.0,0.0,0.0,0.0
48,756,0.0,0.0,0.0,0.0
49,773,0.16,0.0,0.0,0.16
50,788,0.16,0.0,0.0,0.0
51,803,0.0,0.0,0.16,0.0
52,819,0.0,0.0,0.18,0.0
53,834,0.0,0.0,0.21,0.0
54,849,0.18,0.0,0.24,0.16
55,866,0.21,0.18,0.3,0.18
56,881,0.23,0.21,0.36,0.2
57,896,0.26,0.23,0.42,0.23
58,911,0.42,0.27,0.56,0.32
59,927,0.51,0.3,0.65,0.37
60,943,0.64,0.34,0.73,0.48
61,958,0.75,0.41,0.82,0.6
62,974,0.84,0.48,0.97,0.73
63,989,0.91,0.53,1.08,0.91
64,1004,0.96,0.61,1.17,1.04
65,1021,0.98,0.67,1.25,1.15
66,1036,1.01,0.72,1.33,1.24
67,1051,1.04,0.78,1.4,1.43
68,1067,1.06,0.87,1.46,1.61
69,1082,1.06,0.94,1.51,1.78
70,1099,1.06,1.0,1.57,1.96
71,1114,1.03,1.07,1.62,2.05
72,1130,1.03,1.2,1.72,2.09
73,1145,1.06,1.3,1.8,2.11
74,1160,1.13,1.39,1.88,2.1
75,1176,1.19,1.49,1.95,2.1
76,1191,1.24,1.58,2.03,2.09
77,1206,1.26,1.7,2.14,2.08
78,1222,1.26,1.79,2.23,2.07
79,1238,1.26,1.87,2.32,2.07
80,1254,1.26,1.97,2.39,2.05
81,1269,1.25,2.04,2.48,2.04
82,1284,1.26,2.12,2.56,2.04
83,1300,1.28,2.25,2.65,2.04
84,1316,1.3,2.37,2.74,2.03
85,1331,1.32,2.49,2.74,2.02
86,1346,1.32,2.62,2.93,0.0
87,1361,1.32,2.92,3.17,0.0
88,1378,1.34,3.04,3.26,0.0
89,1393,1.35,3.22,3.33,0.0
90,1409,1.44,3.39,3.38,0.0
91,1424,1.52,3.54,3.43,0.97
92,1439,1.6,3.74,3.49,1.52
93,1456,1.67,3.91,3.58,1.83
94,1471,1.78,4.03,3.64,1.99
95,1486,1.87,4.14,3.7,2.08
96,1502,1.97,4.29,3.74,2.14
97,1517,2.08,4.4,3.81,2.18
98,1532,2.22,4.5,3.87,2.21
99,1549,2.33,4.67,3.93,2.24
100,1564,2.43,4.8,3.99,2.25
101,1579,2.72,5.1,4.13,2.25
102,1594,2.84,5.23,4.19,2.2
103,1610,2.97,5.35,4.25,2.17
104,1625,3.13,5.46,4.35,2.15
105,1640,3.25,5.61,4.44,2.16
106,1656,3.37,5.74,4.51,2.2
107,1672,3.54,5.84,4.57,2.24
108,1687,3.66,5.94,4.62,2.29
109,1703,3.76,6.01,4.67,2.34
110,1718,3.84,6.07,4.72,2.38
111,1734,3.92,6.16,4.78,2.43
112,1749,3.97,6.2,4.81,2.44
113,1765,4.0,6.23,4.81,2.45
114,1781,4.02,6.25,4.81,2.46
115,1796,4.02,6.28,4.81,2.46
116,1812,4.01,6.33,4.85,2.45
117,1828,4.02,6.4,4.91,2.45
118,1843,4.03,6.48,4.99,2.48
119,1859,4.04,6.58,5.15,2.51
120,1874,4.04,6.72,5.27,2.53
121,1890,4.02,6.84,5.38,2.54
122,1906,4.01,6.94,5.47,2.55
123,1921,4.0,7.08,5.55,2.54
124,1937,4.0,7.18,5.61,2.53
125,1952,3.98,7.28,5.67,2.52
126,1967,3.96,7.37,5.73,2.53
127,1983,3.94,7.49,5.77,2.55
128,1999,3.91,7.57,5.77,2.56
129,2014,3.89,7.61,5.74,2.57
130,2029,3.87,7.69,5.7,2.57
131,2045,3.86,7.72,5.71,2.57
132,2061,3.84,7.75,5.72,2.56
133,2076,3.81,7.76,5.72,2.55
134,2092,3.78,7.78,5.74,2.55
135,2107,3.76,7.79,5.76,2.54
136,2122,3.74,7.81,5.76,2.52
137,2138,3.71,7.82,5.77,2.5
138,2154,3.69,7.85,5.79,2.48
139,2169,3.67,7.9,5.82,2.48
140,2185,3.66,7.94,5.84,2.47
141,2200,3.63,7.96,5.83,2.45
142,2216,3.62,8.02,5.81,2.44
143,2232,3.62,8.09,5.82,2.43
144,2247,3.61,8.15,5.82,2.42
145,2262,3.57,8.18,5.79,2.41
146,2277,3.55,8.2,5.73,2.4
147,2293,3.55,8.23,5.71,2.4
148,2309,3.55,8.27,5.7,2.39
149,2324,3.55,8.28,5.68,2.39
150,2340,3.52,8.26,5.65,2.37
151,2355,3.51,8.26,5.63,2.36
152,2371,3.52,8.28,5.64,2.36
153,2387,3.52,8.29,5.66,2.38
154,2402,3.51,8.29,5.69,2.39
155,2418,3.48,8.27,5.7,2.41
156,2433,3.45,8.26,5.71,2.41
157,2448,3.44,8.27,5.72,2.42
158,2464,3.43,8.28,5.76,2.44
159,2480,3.41,8.26,5.8,2.47
160,2495,3.37,8.23,5.81,2.47
161,2510,3.34,8.2,5.8,2.46
162,2526,3.3,8.18,5.8,2.45
163,2542,3.27,8.15,5.8,2.44
164,2557,3.21,8.12,5.8,2.44
165,2573,3.17,8.1,5.77,2.43
166,2588,3.15,8.09,5.75,2.41
167,2603,3.13,8.08,5.73,2.4
168,2619,3.11,8.09,5.74,2.39
169,2635,3.1,8.1,5.76,2.38
170,2651,3.09,8.11,5.79,2.37
171,2666,3.05,8.11,5.8,2.37
172,2681,3.01,8.11,5.81,2.37
173,2697,2.99,8.13,5.83,2.37
174,2712,3.01,8.19,5.86,2.37
175,2728,3.02,8.19,5.84,2.37
176,2743,3.02,8.2,5.82,2.37
177,2758,3.02,8.23,5.82,2.36
178,2774,3.03,8.29,5.84,2.36
179,2790,3.03,8.33,5.84,2.35
180,2806,3.02,8.32,5.78,2.34
181,2821,3.01,8.3,5.75,2.33
182,2836,2.99,8.32,5.74,2.32
183,2852,2.98,8.35,5.76,2.32
184,2868,2.96,8.37,5.76,2.32
185,2883,2.96,8.39,5.73,2.3
186,2899,2.96,8.4,5.69,2.28
187,2914,2.96,8.41,5.67,2.26
188,2929,2.95,8.43,5.65,2.24
189,2946,2.94,8.44,5.62,2.22
190,2961,2.92,8.42,5.58,2.21
191,2977,2.91,8.39,5.54,2.2
192,2992,2.89,8.38,5.51,2.19
193,3007,2.88,8.37,5.49,2.18
194,3023,2.84,8.36,5.48,2.17
195,3039,2.82,8.32,5.46,2.16
196,3054,2.8,8.29,5.47,2.16
197,3070,2.8,8.31,5.5,2.17
198,3085,2.81,8.36,5.53,2.17
199,3100,2.81,8.39,5.54,2.18
200,3117,2.8,8.39,5.51,2.17
201,3132,2.8,8.39,5.5,2.16
202,3148,2.79,8.4,5.49,2.15
203,3163,2.79,8.41,5.48,2.13
204,3179,2.78,8.43,5.42,2.08
205,3195,2.76,8.45,5.39,2.06
206,3210,2.75,8.47,5.36,2.03
